,GPP_f,Reco,SWIN_1_1_1,VPD.x,air_p_mean,TS_2_1_1,WTD,LE_f,FCH4,TDP_interp,SO4_interp
46,-0.71636483,5.322778318,-1.96231,357.226,95695.4,20.63,213.0,12.60740656,999.0,90.92991071,1459.22619
47,-0.86838796,5.23512104,-2.68939,285.342,95697.5,20.233,213.0,10.5045637,999.0,90.92495536,1459.613095
48,-1.191607126,5.087236207,-2.21093,235.124,95687.5,19.846,213.0,10.86904909,999.0,90.92,1460.0
49,-1.696315624,4.983500626,-0.810151,189.327,95660.6,19.482,212.0,8.3900205,999.0,90.93405506,1459.578125
50,-1.690611783,4.891687183,-1.16311,155.417,95669.0,19.151,211.0,7.992650538,999.0,90.94811012,1459.15625
51,-0.287095978,4.801486879,-2.22497,145.332,95672.4,18.758,209.5,8.720340667,999.0,90.96216518,1458.734375
52,-0.089559248,4.698100752,-2.56273,122.486,95660.1,18.332,208.0,8.217307097,999.0,90.97622024,1458.3125
53,0.151381484,4.509520928,-1.82757,73.569,95645.9,17.96,208.0,8.081758182,999.0,90.9902753,1457.890625
54,0.099557638,4.457697082,-1.21901,59.3244,95644.8,17.589,208.0,8.081758182,999.0,91.00433036,1457.46875
55,0.041729155,4.422530331,-1.94457,43.6569,95649.0,17.198,205.5,8.415717143,999.0,91.01838542,1457.046875
56,0.124560341,4.327815341,-1.39993,34.0223,95662.3,16.819,203.0,7.957822667,999.0,91.03244048,1456.625
57,0.251159866,4.255368755,-2.41915,34.7258,95643.9,16.44,203.5,9.168488182,999.0,91.04649554,1456.203125
58,0.010718091,4.15838952,-1.58198,31.5968,95637.4,16.068,204.0,9.290978889,999.0,91.0605506,1455.78125
59,-0.031384984,4.116286445,-1.78148,31.3184,95638.5,15.778,204.0,9.290978889,999.0,91.07460565,1455.359375
60,-0.07174559,4.075925838,-1.66163,29.328,95626.3,15.46,204.0,9.290978889,999.0,91.08866071,1454.9375
61,-0.058307121,4.089364307,2.84678,24.8111,95628.9,15.186,205.5,9.290978889,999.0,91.10271577,1454.515625
62,0.338865831,4.074430831,18.5922,28.6915,95637.4,15.04,207.0,6.977875,999.0,91.11677083,1454.09375
63,0.349667137,4.197903804,48.0756,36.0956,95645.2,14.934,229.0,11.12615,999.0,91.13082589,1453.671875
64,3.209169169,4.416185835,84.7859,46.2851,95651.4,14.907,251.0,30.85433333,999.0,91.14488095,1453.25
65,7.846010766,4.734635766,122.197,835.298,95642.2,14.999,262.5,39.798925,999.0,91.15893601,1452.828125
66,7.654225118,5.035480118,177.408,819.424,95643.4,15.328,274.0,66.96909167,999.0,91.17299107,1452.40625
67,8.765421683,5.442326128,231.726,418.807,95648.5,15.805,248.0,91.46496,999.0,91.18704613,1451.984375
68,14.59296086,5.780510858,306.35,668.74,95644.5,16.387,222.0,105.354,999.0,91.20110119,1451.5625
69,13.22115817,6.129778171,358.376,1048.19,95631.5,17.064,204.5,121.003,0.000390233,91.21515625,1451.140625
70,14.23952714,6.32790714,382.131,1217.7,95633.9,17.736,187.0,148.692,0.00314167,91.22921131,1450.71875
71,13.69870122,6.458291215,357.628,1292.29,95640.5,18.526,181.0,124.974,-0.00173008,91.24326637,1450.296875
72,11.25723058,6.517790579,348.581,1376.54,95628.8,19.02,175.0,101.316,0.00100079,91.25732143,1449.875
73,13.6594889,6.618258902,435.697,1463.98,95618.6,19.634,170.5,134.551,0.0109592,91.27137649,1449.453125
74,16.27201021,6.740690206,521.593,1613.24,95597.8,20.226,166.0,213.493,999.0,91.28543155,1449.03125
75,17.64023665,6.863436654,587.941,1757.91,95574.1,21.329,162.0,220.063,-0.000669536,91.29948661,1448.609375
76,20.55976738,7.025167376,734.108,1989.44,95573.9,22.398,158.0,298.646,0.00367632,91.31354167,1448.1875
77,22.35667986,7.131679862,696.879,2136.35,95561.0,23.291,158.0,317.3115789,0.0103465,91.32759673,1447.765625
78,19.93134004,7.224740041,661.888,2307.79,95560.5,23.851,158.0,351.1313846,-0.00363654,91.34165179,1447.34375
79,19.19803877,7.272838774,549.888,2376.72,95548.1,23.859,157.5,300.8340833,-0.00113838,91.35570685,1446.921875
80,18.94680217,7.317602172,533.676,2443.24,95525.6,23.724,157.0,311.278,0.00216312,91.3697619,1446.5
81,19.99660271,7.35110271,589.506,2421.3,95501.4,23.876,156.5,303.2897,-0.000363599,91.38381696,1446.078125
82,18.73818762,7.329087624,498.283,2357.3,95480.3,24.191,156.0,295.6188,-0.000109834,91.39787202,1445.65625
83,19.32333145,7.345331455,476.125,2404.85,95454.3,24.374,153.0,276.0093333,-0.000484337,91.41192708,1445.234375
84,16.50585406,7.398104062,426.369,2429.66,95436.4,24.422,150.0,261.6382,0.00113325,91.42598214,1444.8125
85,12.7238065,7.319566497,284.763,2288.01,95418.6,24.319,155.0,167.407,0.00319752,91.4400372,1444.390625
86,11.24707857,7.264018565,246.673,2177.96,95420.7,24.262,160.0,132.568,999.0,91.45409226,1443.96875
87,8.283678722,7.294246722,191.259,2206.34,95404.4,24.275,166.5,143.267,0.00634324,91.46814732,1443.546875
88,5.174150947,7.101620947,106.346,1867.53,95392.8,24.114,173.0,53.9532,0.0126941,91.48220238,1443.125
89,4.606824275,6.855839497,52.6628,1498.13,95379.9,23.656,180.5,35.48133,999.0,91.49625744,1442.703125
90,1.787623079,6.566850772,14.0605,1162.26,95366.6,22.931,188.0,20.86169,999.0,91.5103125,1442.28125
91,1.335931111,6.270909934,2.08215,915.952,95364.5,22.338,193.5,16.55368838,999.0,91.52436756,1441.859375
92,1.213315297,6.080546755,-1.7397,732.356,95361.0,21.856,199.0,14.157395,999.0,91.53842262,1441.4375
93,0.827937553,5.890436347,-2.25776,555.911,95375.4,21.434,202.5,12.41923312,999.0,91.55247768,1441.015625
94,0.087665736,5.778877677,-2.19649,479.479,95378.0,21.048,206.0,11.52791831,999.0,91.56653274,1440.59375
95,0.082546674,5.704452761,-0.590038,452.444,95374.2,20.656,207.0,10.87851566,999.0,91.5805878,1440.171875
96,-0.038981988,5.593456909,-1.32511,357.921,95367.4,20.267,208.0,10.3892122,999.0,91.59464286,1439.75
97,-0.3128788,5.437103318,-1.64632,289.772,95357.2,19.704,208.5,9.721724557,999.0,91.60869792,1439.328125
98,-0.285682156,5.461603008,0.664421,419.884,95342.4,19.301,209.0,9.907338025,999.0,91.62275298,1438.90625
99,-0.282215095,5.465070068,-0.581625,432.31,95336.6,18.95,212.5,9.907338025,999.0,91.63680804,1438.484375
100,-0.558674443,5.322413648,-1.24949,333.49,95326.5,18.697,216.0,9.789944133,999.0,91.6508631,1438.0625
101,-0.743715896,5.19400775,-0.879434,294.789,95323.6,18.408,215.5,9.310212353,999.0,91.66491815,1437.640625
102,-0.715928989,5.237433266,0.955153,365.438,95305.2,18.128,215.0,10.1967927,999.0,91.67897321,1437.21875
103,-0.766524097,5.175667125,0.516738,350.388,95303.8,17.844,216.5,9.015220061,999.0,91.69302827,1436.796875
104,-0.823947604,5.155960009,-0.383836,321.581,95292.1,17.688,218.0,9.01077225,999.0,91.70708333,1436.375
105,-0.973936223,5.078876652,-0.112527,285.603,95291.3,17.411,223.0,8.797586448,999.0,91.72113839,1435.953125
106,-0.87355747,5.038276609,0.275352,241.804,95287.9,17.212,228.0,8.976096982,999.0,91.73519345,1435.53125
107,-0.928380256,5.03163123,-1.33437,250.002,95272.1,17.067,221.5,8.98129637,999.0,91.74924851,1435.109375
108,-0.199633604,4.964938293,-1.21295,199.328,95265.6,16.824,215.0,10.21181407,999.0,91.76330357,1434.6875
109,0.034743253,4.825590217,3.54026,116.362,95272.4,16.713,219.5,7.870555641,999.0,91.77735863,1434.265625
110,-0.402677046,4.797159065,28.0282,104.449,95279.5,16.699,224.0,8.05748,999.0,91.79141369,1433.84375
111,1.587780404,4.938393832,76.5289,150.648,95287.4,16.519,246.5,31.15318889,999.0,91.80546875,1433.421875
112,5.389650315,5.296989648,132.928,328.094,95296.7,16.646,269.0,57.55473077,999.0,91.81952381,1433.0
113,7.963953489,5.662194944,180.828,604.817,95293.1,16.949,248.0,67.6185,0.0251458,91.83357887,1432.578125
114,10.75543087,5.911950874,226.754,795.999,95275.4,17.365,227.0,78.8517,0.0189512,91.84763393,1432.15625
115,13.96890209,6.140932095,300.62,976.085,95280.1,17.941,199.0,124.581,-0.0014721,91.86168899,1431.734375
116,16.96148616,6.399986162,371.255,1270.98,95285.5,18.617,171.0,146.296,-0.0152049,91.87574405,1431.3125
117,19.26029994,6.625199939,476.87,1478.77,95276.8,19.438,154.5,217.591,-0.00540627,91.88979911,1430.890625
118,21.89131336,6.860013359,614.346,1715.13,95274.2,20.382,138.0,256.69,-0.00849757,91.90385417,1430.46875
119,21.60313166,6.915231659,512.854,1684.54,95255.5,21.279,138.5,264.239,0.00400597,91.91790923,1430.046875
120,20.85185604,6.988756044,553.696,1742.69,95241.6,21.881,139.0,260.008,0.00405059,91.93196429,1429.625
121,20.67250895,7.15650895,554.597,1925.19,95214.9,22.649,138.0,276.0777,-0.000112097,91.94601935,1429.203125
122,23.27386299,7.335962987,644.74,2134.66,95188.5,23.351,137.0,346.3783,-0.0068764,91.9600744,1428.78125
123,22.5003213,7.508821302,674.462,2359.86,95176.3,24.122,137.0,375.836,0.0053761,91.97412946,1428.359375
124,19.36548419,7.559884188,532.792,2394.42,95158.5,24.678,137.0,357.691,-0.00327004,91.98818452,1427.9375
125,19.9410957,7.610595704,534.118,2506.14,95148.6,25.041,135.5,303.2465556,0.0215443,92.00223958,1427.515625
126,17.96699936,7.767999362,629.082,2771.02,95135.3,25.662,134.0,311.858,-0.0122925,92.01629464,1427.09375
127,19.03083337,7.821733367,529.459,2878.99,95123.4,26.082,135.5,316.1586,0.00806307,92.0303497,1426.671875
128,12.7321194,7.728089403,302.857,2758.74,95129.5,26.018,137.0,270.807,0.0119471,92.04440476,1426.25
129,11.69148899,7.731738994,313.487,2767.54,95114.5,26.075,136.5,217.147,-0.0110049,92.05845982,1425.828125
130,15.80326431,7.83444431,444.928,2937.31,95087.3,26.002,136.0,307.67975,-0.00254563,92.07251488,1425.40625
